id,english,tigrinya,domain,tokenized_english,tokenized_tigrinya,eng_length,tir_length
1,Information for parents,ንወለዲ ዝኸውን ሓበሬታ,medical,['Information for parents'],['ንወለዲ ዝኸውን ሓበሬታ'],3,3
2,"If you choose not to vaccinate your child, understand the risks and responsibilities",ውላድኩም ከይተኽትብዎ እንተመሪጽኩም፣ ሓደጋታትን ሓላፍነትን ተረድኡ,medical,"['If you choose not to vaccinate your child, understand the risks and responsibilities']",['ውላድኩም ከይተኽትብዎ እንተመሪጽኩም፣ ሓደጋታትን ሓላፍነትን ተረድኡ'],13,6
3,Telling healthcare professionals your child’s vaccination status is essential for two reasons,ንሰብ ሞያ ክንክን ጥዕና ኩነታት ክታበት ውላድኩም ምሕባር ብኽልተ ምኽንያታት ኣገዳሲ እዩ,medical,['Telling healthcare professionals your child’s vaccination status is essential for two reasons'],['ንሰብ ሞያ ክንክን ጥዕና ኩነታት ክታበት ውላድኩም ምሕባር ብኽልተ ምኽንያታት ኣገዳሲ እዩ'],12,12
4,"If you choose to delay some vaccines or refuse some vaccines entirely, there can be risks.",ንገሊኡ ክታበታት ክተደናጉዩ ወይ ንገሊኡ ክታበታት ምሉእ ብምሉእ ክትነጽጉ እንተ መሪጽኩም፣ ሓደጋታት ክህሉ ይኽእል እዩ።,medical,"['If you choose to delay some vaccines or refuse some vaccines entirely, there can be risks.']",['ንገሊኡ ክታበታት ክተደናጉዩ ወይ ንገሊኡ ክታበታት ምሉእ ብምሉእ ክትነጽጉ እንተ መሪጽኩም፣ ሓደጋታት ክህሉ ይኽእል እዩ።'],16,15
5,"Please follow these steps to protect your child, your family, and others.",ንውላድኩም፣ ንስድራቤትኩምን ንኻልኦትን ንምክልኻል በጃኹም ነዞም ስጉምትታት እዚኦም ተኸተሉ።,medical,"['Please follow these steps to protect your child, your family, and others.']",['ንውላድኩም፣ ንስድራቤትኩምን ንኻልኦትን ንምክልኻል በጃኹም ነዞም ስጉምትታት እዚኦም ተኸተሉ።'],12,9
6,"With the decision to delay or refuse vaccines, you are taking on an important responsibility that could put your child’s health and even life into risk",ምስ’ቲ ክታበት ምድንጓይ ወይ ምንጻግ ዝብል ውሳነ፣ ንጥዕና ውላድኩም ዋላ’ውን ንህይወት ውላድኩም ከይተረፈ ኣብ ሓደጋ ከእቱ ዝኽእል ኣገዳሲ ሓላፍነት ትወስዱ ኣለኹም,medical,"['With the decision to delay or refuse vaccines, you are taking on an important responsibility that could put your child’s health and even life into risk']",['ምስ’ቲ ክታበት ምድንጓይ ወይ ምንጻግ ዝብል ውሳነ፣ ንጥዕና ውላድኩም ዋላ’ውን ንህይወት ውላድኩም ከይተረፈ ኣብ ሓደጋ ከእቱ ዝኽእል ኣገዳሲ ሓላፍነት ትወስዱ ኣለኹም'],26,21
7,Any time that your child is ill and you:,ኣብ ዝኾነ እዋን ውላድኩም እንትሓምም ንስኹም ድማ ክትገብርዎ ዝግባእ፦,medical,['Any time that your child is ill and you:'],['ኣብ ዝኾነ እዋን ውላድኩም እንትሓምም ንስኹም ድማ ክትገብርዎ ዝግባእ፦'],9,9
8,make an emergency call;,ጻውዒት ህጹጽ እዋን  ምግባር፤,medical,['make an emergency call;'],['ጻውዒት ህጹጽ እዋን  ምግባር፤'],4,4
10,visit a hospital emergency room; or,ናብ ክፍሊ ህጹጽ ረድኤት ሆስፒታል ምኻድ፤ ወይ,medical,['visit a hospital emergency room; or'],['ናብ ክፍሊ ህጹጽ ረድኤት ሆስፒታል ምኻድ፤ ወይ'],6,7
11,visit your child’s doctor or any clinic,ናብ ሓኪም ውላድኩም ወይ ናብ ዝኾነ ክሊኒክ ምኻድ,medical,['visit your child’s doctor or any clinic'],['ናብ ሓኪም ውላድኩም ወይ ናብ ዝኾነ ክሊኒክ ምኻድ'],7,8
