id,english,tigrinya,domain
1,Information for parents,ንወለዲ ዝኸውን ሓበሬታ,medical
2,"If you choose not to vaccinate your child, understand the risks and responsibilities",ውላድኩም ከይተኽትብዎ እንተመሪጽኩም፣ ሓደጋታትን ሓላፍነትን ተረድኡ,medical
3,Telling healthcare professionals your child’s vaccination status is essential for two reasons,ንሰብ ሞያ ክንክን ጥዕና ኩነታት ክታበት ውላድኩም ምሕባር ብኽልተ ምኽንያታት ኣገዳሲ እዩ,medical
4,"If you choose to delay some vaccines or refuse some vaccines entirely, there can be risks.",ንገሊኡ ክታበታት ክተደናጉዩ ወይ ንገሊኡ ክታበታት ምሉእ ብምሉእ ክትነጽጉ እንተ መሪጽኩም፣ ሓደጋታት ክህሉ ይኽእል እዩ።,medical
5,"Please follow these steps to protect your child, your family, and others.",ንውላድኩም፣ ንስድራቤትኩምን ንኻልኦትን ንምክልኻል በጃኹም ነዞም ስጉምትታት እዚኦም ተኸተሉ።,medical
6,"With the decision to delay or refuse vaccines, you are taking on an important responsibility that could put your child’s health and even life into risk",ምስ’ቲ ክታበት ምድንጓይ ወይ ምንጻግ ዝብል ውሳነ፣ ንጥዕና ውላድኩም ዋላ’ውን ንህይወት ውላድኩም ከይተረፈ ኣብ ሓደጋ ከእቱ ዝኽእል ኣገዳሲ ሓላፍነት ትወስዱ ኣለኹም,medical
7,Any time that your child is ill and you:,ኣብ ዝኾነ እዋን ውላድኩም እንትሓምም ንስኹም ድማ ክትገብርዎ ዝግባእ፦,medical
8,make an emergency call;,ጻውዒት ህጹጽ እዋን  ምግባር፤,medical
9,ride in an ambulance;,ብኣምቡላንስ ምኻድ፤,medical
10,visit a hospital emergency room; or,ናብ ክፍሊ ህጹጽ ረድኤት ሆስፒታል ምኻድ፤ ወይ,medical
11,visit your child’s doctor or any clinic,ናብ ሓኪም ውላድኩም ወይ ናብ ዝኾነ ክሊኒክ ምኻድ,medical
12,You must tell the medical staff that your child has not received all the vaccines recommended for his or her age.,ንሰራሕተኛታት ሕክምና ውላድኩም ኩሉ እቲ ምስ ዕድሚኡ ወይ ዕድሚኣ ዝምከር ክታበት ከምዘይረኸበ ወይ ከምዘይረኸበት ክትሕብርዎም ኣለኩም።,medical
13,"Keep a vaccination record easily accessible so that you can report exactly which vaccines your child has received, even when you are under stress.",ውላድኩም ኣየኖት ክታበት ከም ዝረኸበ ብትኽክል ክትሕብሩ ምእንቲ፣ ዋላ ኣብ ጸቕጢ ኣብ ዘለኹምሉ እዋን፣ መዝገብ ክታበት ብቐሊሉ ክትረኽብዎ ኣብ እትኽእልሉ ቦታ ኣቐምጥዎ።,medical
14,© WHO / M. Bring,© WHO / M. Bring,medical
15,"When your child is being evaluated, the doctor will need to consider the possibility that your child has a vaccine-preventable disease, such as measles, mumps, pertussis or diptheria.",ውላድኩም ክምርመር ከሎ፣ እቲ ሓኪም ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ከም ንፍዮ፣ ሰሙን ጽግዕ፣ ተኽተኽታን ዲፍተርያን ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ከድልዮ እዩ።,medical
