id,english,tigrinya,domain
1,Information for parents,???? ???? ????,medical
2,"If you choose not to vaccinate your child, understand the risks and responsibilities",????? ??????? ????????? ?????? ?????? ????,medical
3,Telling healthcare professionals your child’s vaccination status is essential for two reasons,??? ?? ???? ??? ???? ???? ????? ???? ???? ?????? ???? ??,medical
4,"If you choose to delay some vaccines or refuse some vaccines entirely, there can be risks.",???? ????? ?????? ?? ???? ????? ??? ???? ????? ??? ?????? ????? ??? ???? ???,medical
5,"Please follow these steps to protect your child, your family, and others.",??????? ????????? ?????? ?????? ???? ??? ?????? ???? ?????,medical
6,"With the decision to delay or refuse vaccines, you are taking on an important responsibility that could put your child’s health and even life into risk",??’? ???? ????? ?? ???? ??? ???? ???? ????? ??’?? ????? ????? ????? ?? ??? ??? ???? ???? ????? ???? ????,medical
7,Any time that your child is ill and you:,?? ??? ??? ????? ?????? ???? ?? ?????? ?????,medical
8,make an emergency call;,???? ??? ???  ?????,medical
9,ride in an ambulance;,??????? ????,medical
10,visit a hospital emergency room; or,?? ??? ??? ???? ????? ???? ??,medical
11,visit your child’s doctor or any clinic,?? ??? ????? ?? ?? ??? ???? ???,medical
12,You must tell the medical staff that your child has not received all the vaccines recommended for his or her age.,???????? ???? ????? ?? ?? ?? ???? ?? ???? ???? ???? ??????? ?? ???????? ??????? ?????,medical
13,"Keep a vaccination record easily accessible so that you can report exactly which vaccines your child has received, even when you are under stress.",????? ???? ???? ?? ???? ????? ????? ????? ?? ?? ??? ?? ????? ???? ???? ???? ???? ?????? ?? ?????? ?? ??????,medical
14,© WHO / M. Bring,© WHO / M. Bring,medical
15,"When your child is being evaluated, the doctor will need to consider the possibility that your child has a vaccine-preventable disease, such as measles, mumps, pertussis or diptheria.",????? ????? ??? ?? ??? ????? ???? ????? ???? ??? ?? ???? ??? ???? ?????? ?????? ???? ?? ???? ?? ??? ??? ???? ???,medical
16,"These diseases still occur, and the doctor will need to consider that your child may have one.",??? ???? ???? ??’?? ???? ??? ???? ?? ??? ?? ????? ?? ?????? ???? ?? ???? ?? ??? ??? ????,medical
17,"If your child has a vaccine-preventable disease, the healthcare workers who help your child can take precautions, such as isolating your child, so that the disease does not spread to others.",????? ???? ????? ???? ??? ???????? ??? ?????? ???? ??????? ???? ???? ?? ??? ?? ???? ???????? ?? ????? ???? ????? ?????? ???? ?????,medical
18,Some people are at higher risk of infection,?? ??? ?? ???? ??? ??? ????,medical
19,One group at high risk for contracting disease is in- fants who are too young to be vaccinated.,?? ??'?? ???? ?? ???? ??? ??? ???? ???? ???? ????? ????? ???? ???? ???? ????,medical
